,Issue Date,License Expiration Date,Reroof Type,Address,Latitude/Longitude
536,11/28/2017,11/30/2018,Comp Shingle,"1123 W 85TH ST Los Angeles CA, 90044","(33.96105, -118.29481)"
537,11/30/2017,10/31/2018,Built Up,"20455 W DEVONSHIRE ST Los Angeles CA, 91311","(34.25742, -118.57921)"
538,12/01/2017,04/30/2017,Comp Shingle,"2100 N ECHO PARK AVE Los Angeles CA, 90026","(34.0895, -118.24984)"
539,12/04/2017,02/28/2018,Built Up,"13039 N GLENOAKS BLVD Los Angeles CA, 91342","(34.30719, -118.44966)"
540,12/06/2017,04/30/2018,Comp Shingle,"911 S BROXTON AVE Los Angeles CA, 90024","(34.06335, -118.44726)"
541,12/06/2017,03/31/2018,Built Up,"1301 S WESTWOOD BLVD Los Angeles CA, 90024","(34.0568, -118.44293)"
542,12/07/2017,07/31/2018,Built Up,"11176 N BRADLEY AVE Los Angeles CA, 91331","(34.27323, -118.42266)"
543,12/11/2017,12/31/2017,Built Up,"404 S LINCOLN BLVD Los Angeles CA, 90291","(34.00081, -118.46632)"
544,12/12/2017,08/31/2018,Built Up,"3966 W 6TH ST Los Angeles CA, 90020","(34.06338, -118.30975)"
545,12/15/2017,06/30/2018,Comp Shingle,"16117 W COVELLO ST Los Angeles CA, 91406","(34.20764, -118.48425)"
546,12/26/2017,07/31/2018,Built Up,"9330 N DE SOTO AVE Los Angeles CA, 91311","(34.23961, -118.58822)"
547,01/03/2018,05/31/2017,Built Up,"5317 N TOPANGA CANYON BLVD Los Angeles CA, 91364","(34.16647, -118.60613)"
548,01/04/2018,11/30/2018,Built Up,"1841 N WESTERN AVE Los Angeles CA, 90027","(34.10471, -118.30945)"
549,01/09/2018,03/31/2017,Built Up,"1014 W VENICE BLVD Los Angeles CA, 90015","(34.04082, -118.27801)"
550,01/10/2018,06/30/2017,Built Up,"4907 W WASHINGTON BLVD Los Angeles CA, 90016","(34.04038, -118.34664)"
551,01/10/2018,04/30/2018,Built Up,"7144 N RESEDA BLVD Los Angeles CA, 91335","(34.20064, -118.53586)"
552,01/12/2018,07/31/2018,Class A or B,"944 N WESTERN AVE Los Angeles CA, 90732",
553,01/14/2018,03/31/2018,Comp Shingle,"10916 W RIVERSIDE DR Los Angeles CA, 91602","(34.1521, -118.36866)"
554,01/14/2018,01/31/2018,Comp Shingle,"7156 W VALMONT ST Los Angeles CA, 91042","(34.25219, -118.2878)"
555,01/14/2018,01/31/2018,Built Up,"17801 W VENTURA BLVD Los Angeles CA, 91316","(34.16317, -118.52051)"
556,01/15/2018,01/31/2018,Built Up,"300 N MARTEL AVE Los Angeles CA, 90036","(34.07647, -118.35095)"
557,01/25/2018,09/30/2018,Class A or B,"1224 S SOTO ST Los Angeles CA, 90023","(34.02732, -118.21934)"
558,01/30/2018,03/31/2018,Built Up,"5410 W WASHINGTON BLVD Los Angeles CA, 90016","(34.03864, -118.36083)"
559,01/30/2018,04/30/2018,Built Up,"9750 N TOPANGA CANYON BLVD Los Angeles CA, 91311","(34.24735, -118.60636)"
560,01/30/2018,07/31/2017,Built Up,"20211 W PRAIRIE ST Los Angeles CA, 91311","(34.23931, -118.57318)"
561,02/07/2018,01/31/2018,Built Up,"17801 W VENTURA BLVD Los Angeles CA, 91316","(34.16317, -118.52051)"
562,02/12/2018,02/28/2018,Comp Shingle,"2444 W WASHINGTON BLVD Los Angeles CA, 90018","(34.03971, -118.31601)"
563,02/13/2018,07/31/2017,Built Up,"464 S MAIN ST Los Angeles CA, 90013","(34.04674, -118.24827)"
564,02/14/2018,08/31/2018,Built Up,"23022 W VICTORY BLVD Los Angeles CA, 91367","(34.18623, -118.62856)"
565,02/20/2018,06/30/2019,Built Up,"4375 S GLENCOE AVE Los Angeles CA, 90292","(33.98565, -118.43823)"
566,02/20/2018,06/30/2019,Built Up,"13155 W MINDANAO WAY Los Angeles CA, 90292","(33.98509, -118.43769)"
567,02/27/2018,04/30/2018,Built Up,"3637 N CAHUENGA BLVD Los Angeles CA, 90068","(34.13455, -118.36054)"
568,03/05/2018,10/31/2017,Built Up,"4801 W EXPOSITION BLVD Los Angeles CA, 90016","(34.02444, -118.34857)"
569,03/05/2018,06/30/2018,Built Up,"9635 N LAUREL CANYON BLVD Los Angeles CA, 91331","(34.24458, -118.41744)"
570,03/09/2018,04/30/2018,Class A or B,"22707 W VICTORY BLVD Los Angeles CA, 91307",
571,03/09/2018,02/28/2019,Class A or B,"16940 W DEVONSHIRE ST Los Angeles CA, 91344","(34.25735, -118.50161)"
572,03/14/2018,05/31/2018,Built Up,"7330 N FIGUEROA ST Los Angeles CA, 90041","(34.13696, -118.1878)"
573,03/15/2018,01/31/2019,Built Up,"1925 W WILSHIRE BLVD Los Angeles CA, 90057","(34.0574, -118.27431)"
574,03/22/2018,07/31/2017,Built Up,"846 N WATSON AVE Los Angeles CA, 90744","(33.78204, -118.24739)"
575,03/23/2018,06/30/2018,Built Up,"7606 N FALLBROOK AVE Los Angeles CA, 91304","(34.20847, -118.6232)"
576,03/23/2018,07/31/2016,Built Up,"1439 W COLORADO BLVD Los Angeles CA, 90041","(34.13965, -118.19563)"
577,03/25/2018,08/31/2018,Built Up,"1600 E OLYMPIC BLVD Los Angeles CA, 90021","(34.02985, -118.24186)"
578,03/29/2018,12/31/2017,Built Up,"7255 N RADFORD AVE Los Angeles CA, 91605","(34.20256, -118.39228)"
